Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.7395315826827538,0.5059422750424448,0.7967914438502673,0.6188992731048806
Decision Tree,0.7295954577714692,0.491183879093199,0.5213903743315508,0.5058365758754864
Random Forest,0.7856635911994322,0.6208053691275168,0.4946524064171123,0.5505952380952381
